Index,Hz,Amp
810,1174.164000,14.340320
811,1175.613000,12.432640
812,1177.063000,11.491410
813,1178.513000,11.343880
814,1179.962000,11.169280
815,1181.412000,9.633901
816,1182.861000,10.520370
817,1184.311000,14.529380
818,1185.760000,14.806410
819,1187.210000,13.269960
820,1188.660000,15.393720
821,1190.109000,13.633220
822,1191.559000,10.741560
823,1193.008000,9.515734
824,1194.458000,12.000050
825,1195.908000,11.706850
826,1197.357000,10.826890
827,1198.807000,9.945418
828,1200.256000,10.210840
829,1201.706000,10.831200
830,1203.156000,12.461380
831,1204.605000,11.405480
832,1206.055000,15.790060
833,1207.504000,18.718940
834,1208.954000,17.830580
835,1210.403000,18.400380
836,1211.853000,19.751200
837,1213.303000,23.323600
838,1214.752000,19.941220
839,1216.202000,17.597040
840,1217.651000,13.615480
841,1219.101000,15.117610
842,1220.551000,13.580730
843,1222.000000,12.391540
844,1223.450000,14.408780
845,1224.899000,17.855740
846,1226.349000,16.036600
847,1227.798000,11.921590
848,1229.248000,11.139750
849,1230.698000,9.777678
850,1232.147000,12.197230
851,1233.597000,12.825020
852,1235.046000,13.858920
853,1236.496000,12.980410
854,1237.946000,9.196049
855,1239.395000,7.186054
856,1240.845000,10.910530
857,1242.294000,11.763350
858,1243.744000,10.569230
859,1245.193000,8.063312
860,1246.643000,13.441960
861,1248.093000,13.294380
862,1249.542000,12.205390
863,1250.992000,14.031240
864,1252.441000,11.105320
865,1253.891000,9.270334
866,1255.341000,11.056480
867,1256.790000,13.093110
868,1258.240000,12.823070
869,1259.689000,15.041670
870,1261.139000,18.611080
871,1262.589000,16.411770
872,1264.038000,15.459080
873,1265.488000,17.888050
874,1266.937000,17.788740
875,1268.387000,17.295530
876,1269.836000,15.245050
877,1271.286000,13.041340
878,1272.736000,10.618120
879,1274.185000,9.567658
880,1275.635000,6.409360
881,1277.084000,10.055460
882,1278.534000,11.440000
883,1279.984000,13.103210
884,1281.433000,14.585300
885,1282.883000,15.879700
886,1284.332000,14.430130
887,1285.782000,15.439690
888,1287.231000,13.033920
889,1288.681000,11.692150
890,1290.131000,13.109580
891,1291.580000,13.862110
892,1293.030000,15.107950
893,1294.479000,15.834760
894,1295.929000,14.501470
895,1297.379000,18.033280
896,1298.828000,18.147990
897,1300.278000,17.222040
898,1301.727000,19.314250
899,1303.177000,18.083090
900,1304.626000,17.684760
901,1306.076000,17.480960
902,1307.526000,14.807460
903,1308.975000,14.242670
904,1310.425000,13.746110
905,1311.874000,13.592850
906,1313.324000,15.426180
907,1314.774000,18.245360
908,1316.223000,18.604510
909,1317.673000,17.536700
910,1319.122000,19.143710
911,1320.572000,20.432520
912,1322.021000,22.107880
913,1323.471000,21.834680
914,1324.921000,23.147700
915,1326.370000,22.713170
916,1327.820000,20.043230
917,1329.269000,15.223170
918,1330.719000,16.780000
919,1332.169000,17.144440
920,1333.618000,17.824730
921,1335.068000,20.227060
922,1336.517000,23.158080
923,1337.967000,22.785790
924,1339.417000,23.460100
925,1340.866000,23.950820
926,1342.316000,22.545060
927,1343.765000,21.846430
928,1345.215000,21.905980
929,1346.664000,22.208990
930,1348.114000,22.396840
931,1349.564000,23.454060
932,1351.013000,25.646990
933,1352.463000,22.121320
934,1353.912000,21.159700
935,1355.362000,22.164160
936,1356.812000,19.312580
937,1358.261000,17.681460
938,1359.711000,16.883940
939,1361.160000,20.801130
940,1362.610000,23.477830
941,1364.059000,24.255410
942,1365.509000,24.563310
943,1366.959000,24.961490
944,1368.408000,25.307890
945,1369.858000,28.438100
946,1371.307000,25.500350
947,1372.757000,24.386050
948,1374.207000,27.295870
949,1375.656000,27.087860
950,1377.106000,28.887680
951,1378.555000,31.018720
952,1380.005000,31.845170
953,1381.454000,32.320310
954,1382.904000,34.535340
955,1384.354000,32.859450
956,1385.803000,34.337460
957,1387.253000,32.965780
958,1388.702000,32.844200
959,1390.152000,33.713550
960,1391.602000,38.099120
961,1393.051000,39.259270
962,1394.501000,38.586130
963,1395.950000,39.025400
964,1397.400000,38.366040
965,1398.849000,37.953800
966,1400.299000,36.785790
967,1401.749000,39.464140
968,1403.198000,39.608420
969,1404.648000,39.899290
970,1406.097000,42.094430
971,1407.547000,43.300910
972,1408.997000,41.093060
973,1410.446000,42.393540
974,1411.896000,40.625780
975,1413.345000,44.206780
976,1414.795000,46.385090
977,1416.245000,49.259630
978,1417.694000,48.279780
979,1419.144000,49.275650
980,1420.593000,49.072990
981,1422.043000,47.701510
982,1423.492000,49.357220
983,1424.942000,46.850220
984,1426.392000,46.320910
985,1427.841000,46.309860
986,1429.291000,46.095420
987,1430.740000,47.612800
988,1432.190000,47.916440
989,1433.640000,48.744000
990,1435.089000,46.949560
991,1436.539000,47.469330
992,1437.988000,47.550790
993,1439.438000,47.858360
994,1440.887000,49.331090
995,1442.337000,49.657930
996,1443.787000,52.294360
997,1445.236000,51.995630
998,1446.686000,49.249370
999,1448.135000,49.348030
1000,1449.585000,50.650400
1001,1451.035000,52.605100
1002,1452.484000,52.670130
1003,1453.934000,48.402980
1004,1455.383000,48.846350
1005,1456.833000,47.643620
1006,1458.282000,50.289460
1007,1459.732000,46.121060
1008,1461.182000,45.164520
1009,1462.631000,43.631540
1010,1464.081000,43.930070
1011,1465.530000,43.751690
1012,1466.980000,42.852350
1013,1468.430000,42.464370
1014,1469.879000,41.362710
1015,1471.329000,41.798520
1016,1472.778000,40.260240
1017,1474.228000,38.154210
1018,1475.677000,36.362320
1019,1477.127000,38.976200
1020,1478.577000,38.419060
1021,1480.026000,35.545570
1022,1481.476000,39.416140
1023,1482.925000,38.134970
1024,1484.375000,36.506970
1025,1485.825000,38.951080
1026,1487.274000,39.872670
1027,1488.724000,39.936610
1028,1490.173000,43.141990
